Date	Time	u_ref	t_ref	d_ref	precip	Qpar	t_canopy	d_canopy	p_atm	CO2_atm	Ts0	Tsurf	Troot	Zw	xylemScalar	NEEobs	Ec
2012062	14	3.115	1.472	0.402674094	0	1294.128	1.472	0.402674094	81	390	1.472	3.800108711	2.81605011	10	1	-999	-999
2012062	14.5	4.019999	0.812	0.387966553	0	1613.328	0.812	0.387966553	81	390	0.812	3.48261932	2.81534011	10	1	-999	-999
2012062	15	3.068334	0.213	0.371132593	0	674.88	0.213	0.371132593	81	390	0.213	3.19263671	2.814553892	10	1	-999	-999
2012062	15.5	3.243333	0.325	0.379374472	0	1077.984	0.325	0.379374472	81	390	0.325	3.236171249	2.813864362	10	1	-999	-999
2012062	16	3.471667	-0.017	0.359374913	0	463.296	-0.017	0.359374913	81	390	-0.017	3.06699882	2.813189506	10	1	-999	-999
2012062	16.5	1.836667	-0.823	0.264774374	0	594.624	-0.823	0.264774374	81	390	-0.823	2.679796414	2.812486247	10	1	-999	-999
2012062	17	2.275	-1.418	0.262628006	0	266.304	-1.418	0.262628006	81	390	-1.418	2.391339837	2.811894914	10	1	-999	-999
2012062	17.5	1.48	-1.422	0.274558939	0	124.032	-1.422	0.274558939	81	390	-1.422	2.381964372	2.811447154	10	1	-999	-999
2012062	18	1.508334	-2.432	0.243644748	0	13.68	-2.432	0.243644748	81	390	-2.432	1.900554104	2.810815924	10	1	-999	-999
2012062	18.5	1.763333	-2.798	0.248798213	0	-0.912	-2.798	0.248798213	81	390	-2.798	1.722523045	2.810082091	10	1	-999	-999
2012062	19	1.595	-3.352	0.225653706	0	0	-3.352	0.225653706	81	390	-3.352	1.456086772	2.809263904	10	1	-999	-999
2012062	19.5	1.558333	-3.517	0.257000019	0	-0.912	-3.517	0.257000019	81	390	-3.517	1.372496541	2.808481948	10	1	-999	-999
2012062	20	1.928334	-3.808	0.260564944	0	0	-3.808	0.260564944	81	390	-3.808	1.229967543	2.807699446	10	1	-999	-999
2012062	20.5	1.736667	-4.205	0.25102725	0	0	-4.205	0.25102725	81	390	-4.205	1.038266786	2.806866696	10	1	-999	-999
2012062	21	1.586667	-4.393	0.251606937	0	-0.912	-4.393	0.251606937	81	390	-4.393	0.94495947	2.806009705	10	1	-999	-999
2012062	21.5	2.526667	-4.75	0.24175389	0	-0.912	-4.75	0.24175389	81	390	-4.75	0.772763361	2.805190808	10	1	-999	-999
2012062	22	2.496667	-4.937	0.249702641	0	0	-4.937	0.249702641	81	390	-4.937	0.680024759	2.804290768	10	1	-999	-999
2012062	22.5	4.166667	-5.335	0.240925586	0	0	-5.335	0.240925586	81	390	-5.335	0.488476703	2.803258961	10	1	-999	-999
2012062	23	3.575	-5.535	0.239999295	0	0	-5.535	0.239999295	81	390	-5.535	0.39014395	2.802160383	10	1	-999	-999
2012062	23.5	3.578333	-5.95	0.227990168	0	0	-5.95	0.227990168	81	390	-5.95	0.190258014	2.801057656	10	1	-999	-999
2012063	0	2.836667	-6.15	0.233246296	0	0	-6.15	0.233246296	81	390	-6.15	0.09105408	2.799944955	10	1	-999	-999
