Geno,Treatment,Tray,Rep,SWC,SWC_adjust,DOY,Water_timing
R500,WW,1,2,23.6,33.5,131,pre
R500,D1,1,2,23.6,33.5,133,post
CC,D1,NA,NA,23.6,33.5,131,PD
R500,D2,1,1,23.7,33.6,128,pre
R500,WW,1,1,23.7,33.6,129,post
R500,D1,3,2,23.7,33.6,130,pre
R500,D1,3,3,23.7,33.6,130,pre
CC,D2,1,1,23.7,33.6,130,pre
R500,D1,1,3,23.7,33.6,132,pre
R500,D2,2,1,23.7,33.6,135,pre
CC,D1,NA,5,23.7,33.6,137,recovery
CC,WW,NA,NA,23.75,33.65,135,MD
CC,WW,NA,NA,23.8,33.7,134,MD
R500,D2,1,3,23.8,33.7,128,pre
R500,D2,2,2,23.8,33.7,128,pre
R500,D2,3,2,23.8,33.7,128,pre
CC,D1,2,3,23.8,33.7,128,NA
CC,D2,1,2,23.8,33.7,128,pre
R500,D1,1,1,23.8,33.7,129,post
R500,D2,2,2,23.8,33.7,129,post
R500,D2,2,3,23.8,33.7,131,pre
CC,D1,3,1,23.8,33.7,131,pre
R500,D1,1,3,23.8,33.7,133,post
R500,D2,2,3,23.8,33.7,138,post
R500,WW,2,2,23.9,33.8,128,pre
CC,D1,2,1,23.9,33.8,128,NA
R500,D2,2,2,23.9,33.8,138,post
CC,D1,NA,NA,23.95,33.85,136,Recovery
R500,D1,3,3,24,33.9,128,pre
R500,D2,2,1,24,33.9,128,pre
R500,D1,3,2,24,33.9,133,post
R500,WW,NA,NA,24.05,33.95,135,PD
CC,D2,3,1,24.1,34,128,pre
R500,WW,2,3,24.1,34,137,pre
R500,D2,2,1,24.1,34,138,post
R500,D1,3,1,24.2,34.1,128,pre
R500,WW,1,3,24.2,34.1,130,pre
R500,D2,1,2,24.2,34.1,133,post
R500,D1,2,2,24.3,34.2,130,pre
R500,D2,3,2,24.3,34.2,130,pre
R500,WW,1,1,24.3,34.2,130,pre
CC,D2,1,1,24.3,34.2,131,pre
CC,D2,2,1,24.3,34.2,133,post
R500,D1,NA,NA,24.3,34.2,135,PD
R500,D2,NA,NA,24.3,34.2,142,MD
R500,D2,1,3,24.4,34.3,129,post
R500,D1,3,1,24.4,34.3,130,pre
R500,D2,3,1,24.4,34.3,130,pre
CC,WW,2,3,24.4,34.3,130,pre
R500,D1,2,1,24.4,34.3,131,pre
R500,D2,1,3,24.4,34.3,133,post
CC,D2,2,2,24.4,34.3,137,recovery
CC,WW,NA,3,24.4,34.3,137,pre
CC,WW,NA,NA,24.4,34.3,131,MD
CC,WW,NA,NA,24.4,34.3,131,MD
CC,D2,1,3,24.5,34.4,128,pre
R500,D2,2,3,24.5,34.4,130,pre
CC,D2,1,2,24.5,34.4,130,pre
R500,D1,NA,NA,24.5,34.4,134,PD
R500,D2,3,3,24.6,34.5,128,pre
CC,WW,1,3,24.6,34.5,131,pre
CC,WW,NA,NA,24.6,34.5,134,MD
CC,WW,2,2,24.7,34.6,130,pre
R500,D1,1,1,24.7,34.6,132,pre
R500,D2,2,1,24.8,34.7,129,post
CC,D2,3,1,24.8,34.7,130,pre
CC,WW,1,2,24.8,34.7,131,pre
R500,D2,3,3,24.8,34.7,138,post
CC,D2,3,3,24.9,34.8,128,pre
R500,D2,1,2,24.9,34.8,129,post
CC,WW,2,1,24.9,34.8,130,pre
R500,D2,2,2,24.9,34.8,131,pre
R500,WW,2,1,24.9,34.8,131,pre
R500,WW,1,2,24.9,34.8,137,pre
CC,D1,NA,1,24.9,34.8,137,recovery
R500,D2,NA,NA,24.9,34.8,142,MD
R500,D1,2,3,25,34.9,130,pre
CC,D2,2,2,25,34.9,130,pre
R500,WW,1,3,25,34.9,131,pre
R500,D1,2,3,25,34.9,132,pre
CC,D2,2,1,25,34.9,132,pre
CC,D2,3,2,25,34.9,132,pre
CC,D1,NA,2,25,34.9,137,recovery
R500,D1,3,1,25.1,35,131,pre
R500,WW,2,3,25.1,35,131,pre
R500,D1,1,2,25.1,35,132,pre
R500,D1,3,1,25.1,35,132,pre
R500,WW,2,2,25.1,35,137,pre
CC,WW,NA,NA,25.15,35.05,135,MD
R500,D2,1,1,25.2,35.1,129,post
R500,D2,1,1,25.2,35.1,130,pre
R500,D1,3,2,25.2,35.1,131,pre
R500,D2,3,3,25.3,35.2,131,pre
CC,D2,1,2,25.3,35.2,131,pre
R500,D1,2,3,25.4,35.3,129,post
CC,WW,1,2,25.4,35.3,129,post
R500,WW,1,2,25.4,35.3,130,pre
R500,D1,3,3,25.4,35.3,132,pre
CC,D1,1,3,25.5,35.4,128,NA
R500,D2,1,2,25.5,35.4,130,pre
R500,D1,2,3,25.5,35.4,131,pre
CC,WW,2,3,25.5,35.4,131,pre
R500,D2,NA,NA,25.5,35.4,142,MD
CC,D1,NA,NA,25.5,35.4,136,Recovery
CC,WW,NA,NA,25.55,35.45,136,Recovery
CC,D2,1,1,25.6,35.5,129,post
R500,D2,2,1,25.6,35.5,131,pre
CC,D2,3,2,25.7,35.6,130,pre
R500,D1,2,2,25.7,35.6,131,pre
R500,D1,3,3,25.7,35.6,131,pre
CC,D1,NA,NA,25.75,35.65,138,Recovery
R500,WW,1,3,25.8,35.7,129,post
R500,D2,1,3,25.8,35.7,130,pre
R500,D1,1,2,25.8,35.7,131,pre
R500,WW,2,1,25.8,35.7,137,pre
R500,D1,1,2,25.9,35.8,130,pre
R500,D2,3,1,25.9,35.8,131,pre
CC,D2,1,3,25.9,35.8,131,pre
CC,D2,3,1,25.9,35.8,132,pre
R500,WW,NA,NA,25.95,35.85,135,MD
R500,D1,1,1,26,35.9,128,pre
CC,WW,1,3,26,35.9,129,post
CC,WW,2,1,26,35.9,129,post
R500,D2,1,1,26,35.9,131,pre
CC,D2,2,2,26,35.9,131,pre
CC,D2,1,2,26,35.9,132,pre
CC,WW,NA,NA,26,35.9,134,PD
R500,D1,NA,NA,26.05,35.95,138,MD
CC,D1,2,2,26.1,36,128,NA
R500,D2,2,2,26.1,36,130,pre
R500,D2,1,2,26.1,36,131,pre
CC,D2,2,3,26.1,36,137,recovery
CC,WW,NA,NA,26.1,36,135,PD
R500,D1,1,3,26.2,36.1,130,pre
CC,WW,NA,NA,26.2,36.1,133,PD
CC,D1,NA,NA,26.2,36.1,136,Recovery
CC,WW,NA,NA,26.2,36.1,135,PD
CC,WW,NA,NA,26.3,36.2,135,MD
R500,D1,3,1,26.3,36.2,129,post
CC,D2,2,3,26.3,36.2,130,pre
R500,D1,3,2,26.3,36.2,132,pre
CC,WW,NA,NA,26.35,36.25,133,MD
CC,WW,NA,NA,26.35,36.25,135,MD
CC,D1,NA,NA,26.35,36.25,138,Recovery
R500,D1,3,2,26.4,36.3,128,pre
R500,D2,2,3,26.4,36.3,128,pre
CC,D2,1,3,26.4,36.3,129,post
CC,WW,2,1,26.6,36.5,133,post
CC,D1,NA,NA,26.65,36.55,138,Recovery
CC,D2,2,2,26.7,36.6,128,pre
CC,D2,2,1,26.7,36.6,130,pre
R500,WW,NA,NA,26.7,36.6,134,MD
R500,D2,1,3,26.8,36.7,135,pre
R500,WW,NA,NA,26.8,36.7,134,PD
R500,D2,1,3,26.9,36.8,131,pre
R500,WW,2,2,26.9,36.8,131,pre
CC,D2,2,1,26.9,36.8,131,pre
R500,D1,2,3,27,36.9,128,pre
CC,WW,NA,NA,27.05,36.95,135,PD
R500,D1,2,2,27.1,37,129,post
R500,D2,1,3,27.1,37,139,pre
CC,WW,NA,NA,27.15,37.05,133,PD
CC,D1,NA,NA,27.15,37.05,136,Recovery
R500,D2,1,2,27.2,37.1,128,pre
R500,WW,1,2,27.2,37.1,128,pre
R500,D2,2,3,27.2,37.1,129,post
R500,D2,3,1,27.2,37.1,129,post
R500,WW,1,1,27.2,37.1,133,post
R500,D2,3,3,27.3,37.2,130,pre
R500,D2,3,1,27.3,37.2,133,post
CC,WW,NA,NA,27.3,37.2,131,PD
