"","DAY","DCAN (kPa)","PLC","YSOIL (MPa)","YPD (MPa)","YMD (MPa)","ECRIT (mmol m-2 s-1)","Leaf NSC (gC m-2)","Stem NSC (gC m-2)","Root NSC (gC m-2)","GS (mmol m-2 s-1)","EC (mmol m-2 s-1)","GPP (mmol m-2 s-1)","SMshall","SMdeep","SMrock","RHIZFshall (mmol m-2 s-1)","RHIZFdeep (mmol m-2 s-1)","RHIZFrock (mmol m-2 s-1)","FinRootCshall (gC m-2 grd)","FinRootCdeep (gC m-2 grd)","FinRootCrock (gC m-2 grd)","MicrobNshall (gN m-2 grd)","MicrobNdeep (gN m-2 grd)","MicrobNrock (gN m-2 grd)","LitterNshall (gN m-2 grd)","LitterNdeep (gN m-2 grd)","LitterNrock (gN m-2 grd)","PlantN (gN m-2 grd)","LAI (m2 m-2)","RLA (m2 m-2)","RA shall (m2 m-2","RA deep (m2 m-2)","RA rock (m2 m-2)"
"62",62,2.17722462009952,74.72558,-5.0858375,-5.3050675,-6.9440975,1.923960625,27.080725,52.885525,387.80725,20.17275,0.309306216666667,2.78811256953846,0.17508851562438,0.175395916666667,0.309468891443192,0.0121924722916667,0.00764386604166667,0.2747879,24.2884160416667,22.7488347916667,5.2340558441325,3.5830075,4.76462479166667,2.37187454166667,1.0531625,2.1442725,0.45532480944375,1.47326833333333,2.15652,1.927915,0.3766645,0.510214020833333,0.113121590833333
"63",63,2.13166877943565,74.9485,-5.1342525,-5.3434075,-6.8415725,1.88877083333333,27.542025,52.78545,387.7275,19.038575,0.297579351875,2.6909139641606,0.174869267209986,0.175319833333333,0.30946723386387,0.004737385125,0.0104085558333333,0.275763433333333,24.3055554166667,22.7483452083333,5.23996633635146,3.57294583333333,4.74637854166667,2.35660758333333,1.02894958333333,2.09938541666667,0.451047017083333,1.48481833333333,2.15654041666667,1.92848729166667,0.376776208333333,0.510061895833333,0.113161959166667
"64",64,2.42367641087768,75.13732,-5.202455,-5.3053025,-6.92801,1.851219375,27.603525,52.844425,387.64,16.66955,0.292684889791667,2.54510299929153,0.174680284329782,0.1751929375,0.309465602272136,0.006365685625,0.0191865439583333,0.263361251875,24.3190422916667,22.74672625,5.24502952918021,3.56369666666667,4.72804916666667,2.34168395833333,1.00470864583333,2.05540833333333,0.446703258827083,1.50070854166667,2.15755125,1.9280575,0.376869375,0.509930854166667,0.113199558333333
"65",65,2.43546834719008,75.36942,-5.2768,-5.38546,-6.94766,1.80320083333333,27.503225,52.804925,387.57,15.9241,0.280862053458333,2.55739513665644,0.174465668018883,0.17502075,0.309464067195943,0.00773777208333333,0.0243446366666667,0.24643491,24.3285225,22.7440279166667,5.24930833989229,3.55444770833333,4.71019875,2.327295875,0.982056541666667,2.012269375,0.44228885004375,1.50843708333333,2.16019479166667,1.926158125,0.376940354166667,0.5098240625,0.113235706666667
"66",66,2.67905068255284,75.6544,-5.35551,-5.4603325,-7.1177875,1.741939375,26.47265,52.264175,387.439,14.7653,0.270689224583333,2.32720728024625,0.174222747792022,0.174821791666667,0.309462536308682,0.0181986168125,0.0373615184166667,0.213798439583333,24.3348908333333,22.7405108333333,5.25300568709125,3.54613458333333,4.69254541666667,2.3132298125,0.959397270833333,1.97014625,0.437830223977083,1.5053825,2.171569375,1.91635625,0.376994895833333,0.509734041666667,0.113271023125
"67",67,2.57730629007061,76.11334,-5.46801,-5.57849,-7.1817425,1.66298291666667,25.371225,51.173325,387.14625,14.74255,0.268128354166667,2.39789680269037,0.173902958335279,0.1745743125,0.309461086925913,0.00790668458333333,0.031327414375,0.227476667916667,24.3370347916667,22.7359589583333,5.25589677679437,3.53843541666667,4.67440541666667,2.29864185416667,0.936954833333333,1.929139375,0.433346457779167,1.49689,2.18813458333333,1.90213041666667,0.377025479166667,0.50967,0.113304689166667
"68",68,2.27860225578876,76.5477,-5.5207025,-5.65096,-7.0845825,1.60765791666667,23.6367,49.110325,386.51725,15.257625,0.239000917979167,2.42108768260519,0.173804121999108,0.174400541666667,0.30945960012152,-0.0045757044375,0.0109142827083333,0.225473065,24.34046,22.7315866666667,5.25914182886458,3.52935166666667,4.65529520833333,2.28387377083333,0.917614291666667,1.88930958333333,0.428853838320833,1.473663125,2.21763020833333,1.87691395833333,0.3770625625,0.509597166666667,0.113340323958333
"69",69,0.898401848234033,76.88022,-5.41131,-5.64979,-6.5848425,1.63262375,22.51015,46.91965,385.453,28.957825,0.152535524,3.13326420810252,0.174175514514433,0.17447475,0.309458435394895,-0.021778136875,-0.022309855875,0.185642582083333,24.3497260416667,22.7296220833333,5.26499524084021,3.51756333333333,4.63502166666667,2.2689139375,0.902793895833333,1.85059958333333,0.4243494329875,1.452336875,2.2465675,1.85275666666667,0.3771185625,0.509489979166667,0.1133915625
"70",70,1.19106389936765,76.46072,-5.3061425,-5.54326,-6.8334,2.17929666666667,23.718675,46.25945,383.95475,28.554425,0.182033666666667,3.33346454220461,0.181087208205839,0.174707041666667,0.30945927088622,0.00879551770833333,-0.0104049391666667,0.17825502625,24.3862325,22.7413422916667,5.28474629230167,3.50188125,4.614401875,2.25477216666667,0.893714604166667,1.81296625,0.419835906758333,1.463735625,2.258726875,1.84416,0.377252145833333,0.509211375,0.113536574166667
"71",71,1.2995482431354,56.21324,-3.7865275,-3.392585,-5.7933825,3.78518979166667,25.15405,46.602175,382.43175,61.1402,0.413171637083333,3.55533642375431,0.198227625925552,0.1756454375,0.309460876271079,0.4661409225,-0.195054174791667,0.148402185,24.4246254166667,22.7536366666667,5.30526818533813,3.486350625,4.594864375,2.242369625,0.885170875,1.776394375,0.41531576383125,1.48612270833333,2.2614,1.84357125,0.377394375,0.508917125,0.1136884625
