"","DAY","DCAN (kPa)","PLC","YSOIL (MPa)","YPD (MPa)","YMD (MPa)","ECRIT (mmol m-2 s-1)","Leaf NSC (gC m-2)","Stem NSC (gC m-2)","Root NSC (gC m-2)","GS (mmol m-2 s-1)","EC (mmol m-2 s-1)","GPP (mmol m-2 s-1)","SMshall","SMdeep","SMrock","RHIZFshall (mmol m-2 s-1)","RHIZFdeep (mmol m-2 s-1)","RHIZFrock (mmol m-2 s-1)","FinRootCshall (gC m-2 grd)","FinRootCdeep (gC m-2 grd)","FinRootCrock (gC m-2 grd)","MicrobNshall (gN m-2 grd)","MicrobNdeep (gN m-2 grd)","MicrobNrock (gN m-2 grd)","LitterNshall (gN m-2 grd)","LitterNdeep (gN m-2 grd)","LitterNrock (gN m-2 grd)","PlantN (gN m-2 grd)","LAI (m2 m-2)","RLA (m2 m-2)","RA shall (m2 m-2","RA deep (m2 m-2)","RA rock (m2 m-2)"
"120",120,3.53800339610661,85.70498,-2.7052775,-2.90311,-3.5226875,0.468533708333333,18.9092,31.39945,297.138,2.89707,0.073277946875,0.648736882388,0.18406602344523,0.184652208333333,0.309476260421223,0.000557709479166667,0.001217616875,0.0690748579166667,22.6267035416667,22.005411875,5.12852997084312,3.25708083333333,3.944031875,2.163594,0.415112645833333,0.7592938125,0.205786172229167,1.62620708333333,2.349940625,1.71742958333333,0.368013666666667,0.5166635625,0.115322664791667
"121",121,2.04920566457132,86.08664,-2.7054675,-2.9056775,-3.43242,0.467766020833333,18.9187,31.201675,295.6395,4.318735,0.0694585116666667,0.730658019577554,0.184055165263918,0.184644375,0.309474949099688,0.000252057958333333,0.000859876708333333,0.0659388258333333,22.6016047916667,21.9859825,5.12474705657563,3.26150791666667,3.9373125,2.17451897916667,0.407011354166667,0.746626708333333,0.201290796810417,1.619830625,2.34997020833333,1.71641916666667,0.367929020833333,0.516726916666667,0.115344135
"122",122,2.84794658257185,85.5475,-2.707415,-2.9061975,-3.602085,0.467299083333333,18.957375,31.024275,294.155,3.9423925,0.073119231875,0.794849982238107,0.184048530696156,0.184638541666667,0.309473658125368,0.000102547958333333,0.000584507291666667,0.0703565075,22.5769075,21.9664683333333,5.12103893513583,3.26499104166667,3.93089354166667,2.18565625,0.399466375,0.734090625,0.19679168656875,1.61417104166667,2.34998020833333,1.71542666666667,0.3678471875,0.5167868125,0.115365907708333
"123",123,3.35448011972526,85.69524,-2.7059775,-2.9068875,-3.5280725,0.4677861875,18.8903,30.862925,292.66475,3.0077025,0.06963436,0.590114667068975,0.184061271971347,0.1846381875,0.309472311012005,-0.00120205875875,-0.000618977354166667,0.0687071916666667,22.5517172916667,21.9466760416667,5.11719393768833,3.26961333333333,3.92465604166667,2.19764820833333,0.3916765625,0.7217114375,0.192300677229167,1.60831916666667,2.34999020833333,1.714421875,0.367763833333333,0.516848895833333,0.115387417291667
"124",124,3.27571530815701,85.55394,-2.70731,-2.9031425,-3.594505,0.467572208333333,18.878025,30.68345,291.1855,3.399815,0.0784519452083333,0.844625181583883,0.184055356665082,0.184634708333333,0.30947095670007,0.002272808745625,0.00218824814583333,0.0719233552083333,22.526585,21.9267122916667,5.11331019021396,3.27443333333333,3.91851729166667,2.21024591666667,0.383991875,0.709490541666667,0.187819865772917,1.60308979166667,2.35,1.7134125,0.3676811875,0.516910291666667,0.11540853875
"125",125,3.28513875503209,85.4922,-2.713475,-2.9099375,-3.6623675,0.468077895833333,18.944925,30.52875,289.7025,3.4791475,0.0680630706458333,0.734552232624656,0.184091377173424,0.184617375,0.309469648395215,0.00269529472916667,0.0029498863125,0.0609921004166667,22.50238375,21.9067827083333,5.10958936133125,3.2774175,3.91273979166667,2.22365433333333,0.37716525,0.697441020833333,0.18335660660625,1.59895479166667,2.35,1.71243145833333,0.367604875,0.516965,0.115430250833333
"126",126,2.73850653201998,85.18532,-2.68319,-2.8713675,-3.6591,0.479532104166667,18.717925,30.36475,288.27275,4.5868225,0.0712311248958333,0.666621559890119,0.184388448470382,0.184615166666667,0.309468423333765,0.00844306902708333,-0.000852912166666667,0.0623576470416667,22.4787616666667,21.886416875,5.10553457105938,3.27830604166667,3.90716291666667,2.23657064583333,0.371259041666667,0.685578708333333,0.17891989225,1.59408083333333,2.35,1.711446875,0.367536145833333,0.5170156875,0.115448180416667
"127",127,2.52321136120995,85.2887,-2.6955875,-2.8901975,-3.6821275,0.535467875,18.803,30.192425,286.827,5.026915,0.0717063348770833,0.820423322860519,0.191245609404717,0.184716666666667,0.309467240219627,0.00704440732708333,0.0013944339,0.0627770026166667,22.455649375,21.866116875,5.10162936585,3.27887479166667,3.90153145833333,2.25021239583333,0.365663625,0.673925875,0.17452169890625,1.59128,2.35,1.710475625,0.367470041666667,0.5170629375,0.115466903541667
"128",128,2.03790174570433,79.89032,-1.8746375,-1.954185,-3.15267,0.798594958333333,18.86515,30.041825,285.33975,11.020975,0.115378343958333,1.45742058323415,0.219993040542918,0.185513354166667,0.309466506407837,0.176690620416667,-0.0999941257083333,0.0569013962291667,22.434731875,21.84615625,5.0981458317075,3.27862479166667,3.896069375,2.264253125,0.361299125,0.662494583333333,0.170165247697917,1.61597375,2.35,1.70956645833333,0.367417333333333,0.517096020833333,0.115486747916667
"129",129,1.83550270967419,80.51338,-1.8830275,-1.9959225,-3.150445,0.786710375,19.91815,30.024775,283.5895,11.459025,0.145333507354167,2.32383452768887,0.215565863175521,0.186227958333333,0.309465563073539,0.179025433083333,-0.0917740672916667,0.0665315785416667,22.4192164583333,21.828101875,5.0966285674125,3.28545208333333,3.89069104166667,2.27845866666667,0.358002979166667,0.651293979166667,0.165855465335417,1.65946625,2.35,1.70885416666667,0.367388979166667,0.5170933125,0.115517783958333
